mcode,l_title,f_mchapter_id,l_type_nm,f_mchapter_nm
T1ME11U03015,뺄셈을 해 볼까요,14201790,기)교과서 진도학습,뺄셈
T1ME11U03015,뺄셈을 해 볼까요,14201790,기)교과서 진도학습,뺄셈
T1ME11U03032,여러 가지 방법으로 뺄셈하기,14201790,탭)AI 약점 보완 학습,뺄셈
T1ME11U03032,여러 가지 방법으로 뺄셈하기,14201790,탭)AI 약점 보완 학습,뺄셈
T1ME11U03033,그림을 보고 뺄셈하기,14201790,탭)AI 약점 보완 학습,뺄셈
T1ME11U03033,그림을 보고 뺄셈하기,14201790,탭)AI 약점 보완 학습,뺄셈
T1ME11U03014,뺄셈을 알아볼까요,14201790,기)교과서 진도학습,뺄셈
T1ME11U03014,뺄셈을 알아볼까요,14201790,기)교과서 진도학습,뺄셈
T1ME11U03030,그림을 보고 뺄셈식으로 나타내기,14201790,탭)AI 약점 보완 학습,뺄셈
T1ME11U03030,그림을 보고 뺄셈식으로 나타내기,14201790,탭)AI 약점 보완 학습,뺄셈
T1ME11U03031,뺄셈식을 쓰고 읽기,14201790,탭)AI 약점 보완 학습,뺄셈
T1ME11U03031,뺄셈식을 쓰고 읽기,14201790,탭)AI 약점 보완 학습,뺄셈
T1ME11U03007,0이 있는 덧셈과 뺄셈,14201791,탭)겨울방학특강,덧셈과 뺄셈
T1ME11U03008,덧셈과 뺄셈하기,14201791,탭)겨울방학특강,덧셈과 뺄셈
T1ME11U03088,단원마무리,14201791,탭)영역별 집중 학습,덧셈과 뺄셈
T1ME11U03096,덧셈과 뺄셈,14201791,탭)단원별 보충 학습,덧셈과 뺄셈
T1ME11U03015,뺄셈을 해 볼까요,14201791,기)교과서 진도학습,덧셈과 뺄셈
T1ME11U03032,여러 가지 방법으로 뺄셈하기,14201791,탭)AI 약점 보완 학습,덧셈과 뺄셈
T1ME11U03016,0이 있는 덧셈과 뺄셈을 해 볼까요,14201791,기)교과서 진도학습,덧셈과 뺄셈
T1ME11U03034,0이 있는 덧셈,14201791,탭)AI 약점 보완 학습,덧셈과 뺄셈
T1ME11U03017,덧셈과 뺄셈을 해 볼까요,14201791,기)교과서 진도학습,덧셈과 뺄셈
T1ME11U03035,선택한 수가 계산한 값이 되는 덧셈식 만들기,14201791,탭)AI 약점 보완 학습,덧셈과 뺄셈
T1ME11U03036,선택한 수가 계산한 값이 되는 뺄셈식 만들기,14201791,탭)AI 약점 보완 학습,덧셈과 뺄셈
T1ME11U05002,모으기와 가르기,14201799,탭)겨울방학특강,십몇 알아보기
T1ME11U05002,모으기와 가르기,14201799,탭)겨울방학특강,십몇 알아보기
T1ME11U05001,9 다음 수 알아보기/십몇 알아보기,14201799,탭)겨울방학특강,십몇 알아보기
T1ME11U05001,9 다음 수 알아보기/십몇 알아보기,14201799,탭)겨울방학특강,십몇 알아보기
T1ME11U05076,"10 알아보기, 십몇 알아보기",14201799,탭)단원별 보충 학습,십몇 알아보기
T1ME11U05076,"10 알아보기, 십몇 알아보기",14201799,탭)단원별 보충 학습,십몇 알아보기
T1ME11U05077,모으기와 가르기,14201799,탭)단원별 보충 학습,십몇 알아보기
T1ME11U05077,모으기와 가르기,14201799,탭)단원별 보충 학습,십몇 알아보기
T1ME11U05007,십몇을 알아볼까요,14201799,기)교과서 진도학습,십몇 알아보기
T1ME11U05007,십몇을 알아볼까요,14201799,기)교과서 진도학습,십몇 알아보기
T1ME11U05018,19까지의 수를 쓰고 읽기,14201799,탭)AI 약점 보완 학습,십몇 알아보기
T1ME11U05018,19까지의 수를 쓰고 읽기,14201799,탭)AI 약점 보완 학습,십몇 알아보기
T1ME11U05019,그림을 보고 19까지의 수 알아보기,14201799,탭)AI 약점 보완 학습,십몇 알아보기
T1ME11U05019,그림을 보고 19까지의 수 알아보기,14201799,탭)AI 약점 보완 학습,십몇 알아보기
T1ME11U05008,모으기와 가르기를 해 볼까요,14201799,기)교과서 진도학습,십몇 알아보기
T1ME11U05008,모으기와 가르기를 해 볼까요,14201799,기)교과서 진도학습,십몇 알아보기
T1ME11U05020,그림을 보고 19까지의 수를 모으기와 가르기 하기,14201799,탭)AI 약점 보완 학습,십몇 알아보기
T1ME11U05020,그림을 보고 19까지의 수를 모으기와 가르기 하기,14201799,탭)AI 약점 보완 학습,십몇 알아보기
T1ME11U05021,19까지의 수를 모으기와 가르기 하기,14201799,탭)AI 약점 보완 학습,십몇 알아보기
T1ME11U05021,19까지의 수를 모으기와 가르기 하기,14201799,탭)AI 약점 보완 학습,십몇 알아보기
T1ME11U05003,10개씩 묶어 세기/50까지의 수 세기,14201800,탭)겨울방학특강,몇십과 몇십몇을 알아보기
T1ME11U05001,9 다음 수 알아보기/십몇 알아보기,14201800,탭)겨울방학특강,몇십과 몇십몇을 알아보기
T1ME11U05075,단원마무리,14201800,탭)영역별 집중 학습,몇십과 몇십몇을 알아보기
T1ME11U05078,10개씩 묶어 세기,14201800,탭)단원별 보충 학습,몇십과 몇십몇을 알아보기
T1ME11U05079,50까지의 수 세기,14201800,탭)단원별 보충 학습,몇십과 몇십몇을 알아보기
T1ME11U05009,10개씩 묶어 세어 볼까요,14201800,기)교과서 진도학습,몇십과 몇십몇을 알아보기
T1ME11U05022,몇십(10~50) 알아보기,14201800,탭)AI 약점 보완 학습,몇십과 몇십몇을 알아보기
T1ME11U05010,50까지의 수를 세어 볼까요,14201800,기)교과서 진도학습,몇십과 몇십몇을 알아보기
T1ME11U05024,묶음과 낱개를 이용하여 몇십몇 알아보기,14201800,탭)AI 약점 보완 학습,몇십과 몇십몇을 알아보기
T1ME11U05025,몇십몇을 쓰고 읽기,14201800,탭)AI 약점 보완 학습,몇십과 몇십몇을 알아보기
T1ME21U01001,백 알아보기/몇백 알아보기,14201803,탭)겨울방학특강,백과 몇백 알아보기
T1ME21U01006,백을 알아볼까요,14201803,기)교과서 진도학습,백과 몇백 알아보기
T1ME21U01016,백을 읽고 쓰기,14201803,탭)AI 약점 보완 학습,백과 몇백 알아보기
T1ME21U01017,여러 가지 방법으로 100 나타내기,14201803,탭)AI 약점 보완 학습,백과 몇백 알아보기
T1ME21U01007,몇백을 알아볼까요,14201803,기)교과서 진도학습,백과 몇백 알아보기
T1ME21U01019,몇백 알아보기,14201803,탭)AI 약점 보완 학습,백과 몇백 알아보기
T1ME21U01018,몇백 쓰고 읽기,14201803,탭)AI 약점 보완 학습,백과 몇백 알아보기
T1ME21U01066,"90보다 10만큼 더 큰 수, 몇백",14201803,탭)단원별 보충 학습,백과 몇백 알아보기
T1ME21U01065,단원마무리,14201803,탭)영역별 집중 학습,백과 몇백 알아보기
T1ME21U02003,칠교판으로 모양 만들기,14201807,탭)겨울방학특강,도형
T1ME21U02003,칠교판으로 모양 만들기,14201807,탭)겨울방학특강,도형
T1ME21U02003,칠교판으로 모양 만들기,14201807,탭)겨울방학특강,도형
T1ME21U02001,○과 △ 알아보기,14201807,탭)겨울방학특강,도형
T1ME21U02001,○과 △ 알아보기,14201807,탭)겨울방학특강,도형
T1ME21U02001,○과 △ 알아보기,14201807,탭)겨울방학특강,도형
T1ME21U02002,□ 알아보기,14201807,탭)겨울방학특강,도형
T1ME21U02002,□ 알아보기,14201807,탭)겨울방학특강,도형
T1ME21U02002,□ 알아보기,14201807,탭)겨울방학특강,도형
T1ME21U02006,△을 알아보고 찾아볼까요,14201807,기)교과서 진도학습,도형
T1ME21U02006,△을 알아보고 찾아볼까요,14201807,기)교과서 진도학습,도형
T1ME21U02006,△을 알아보고 찾아볼까요,14201807,기)교과서 진도학습,도형
T1ME21U02015,삼각형 알아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02015,삼각형 알아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02015,삼각형 알아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02016,삼각형 찾아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02016,삼각형 찾아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02016,삼각형 찾아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02008,○을 알아보고 찾아볼까요,14201807,기)교과서 진도학습,도형
T1ME21U02008,○을 알아보고 찾아볼까요,14201807,기)교과서 진도학습,도형
T1ME21U02008,○을 알아보고 찾아볼까요,14201807,기)교과서 진도학습,도형
T1ME21U02019,원 알아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02019,원 알아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02019,원 알아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02020,원 찾아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02020,원 찾아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02020,원 찾아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02009,칠교판으로 모양을 만들어 볼까요,14201807,기)교과서 진도학습,도형
T1ME21U02009,칠교판으로 모양을 만들어 볼까요,14201807,기)교과서 진도학습,도형
T1ME21U02009,칠교판으로 모양을 만들어 볼까요,14201807,기)교과서 진도학습,도형
T1ME21U02021,칠교판 조각 알아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02021,칠교판 조각 알아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02021,칠교판 조각 알아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02056,"삼각형, 사각형 알아보기",14201807,탭)단원별 보충 학습,도형
T1ME21U02056,"삼각형, 사각형 알아보기",14201807,탭)단원별 보충 학습,도형
T1ME21U02056,"삼각형, 사각형 알아보기",14201807,탭)단원별 보충 학습,도형
T1ME21U02057,원 알아보기,14201807,탭)단원별 보충 학습,도형
T1ME21U02057,원 알아보기,14201807,탭)단원별 보충 학습,도형
T1ME21U02057,원 알아보기,14201807,탭)단원별 보충 학습,도형
T1ME21U02055,단원마무리,14201807,탭)영역별 집중 학습,도형
T1ME21U02055,단원마무리,14201807,탭)영역별 집중 학습,도형
T1ME21U02055,단원마무리,14201807,탭)영역별 집중 학습,도형
T1ME21U02058,칠교판으로 모양 만들기,14201807,탭)단원별 보충 학습,도형
T1ME21U02058,칠교판으로 모양 만들기,14201807,탭)단원별 보충 학습,도형
T1ME21U02058,칠교판으로 모양 만들기,14201807,탭)단원별 보충 학습,도형
T1ME21U02007,□을 알아보고 찾아볼까요,14201807,기)교과서 진도학습,도형
T1ME21U02007,□을 알아보고 찾아볼까요,14201807,기)교과서 진도학습,도형
T1ME21U02007,□을 알아보고 찾아볼까요,14201807,기)교과서 진도학습,도형
T1ME21U02017,사각형 알아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02017,사각형 알아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02017,사각형 알아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02018,사각형 찾아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02018,사각형 찾아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U02018,사각형 찾아보기,14201807,탭)AI 약점 보완 학습,도형
T1ME21U03001,여러 가지 방법으로 덧셈해 보기(1),14201809,탭)겨울방학특강,덧셈
T1ME21U03002,여러 가지 방법으로 덧셈해 보기(2),14201809,탭)겨울방학특강,덧셈
T1ME21U03003,덧셈하기,14201809,탭)겨울방학특강,덧셈
T1ME21U03091,단원마무리,14201809,탭)영역별 집중 학습,덧셈
T1ME21U03092,"덧셈하기 (1), (2)",14201809,탭)단원별 보충 학습,덧셈
T1ME21U03093,"덧셈하기 (3), 여러 가지 방법으로 덧셈하기",14201809,탭)단원별 보충 학습,덧셈
T1ME21U03010,여러 가지 방법으로 덧셈을 해 볼까요(1),14201809,기)교과서 진도학습,덧셈
T1ME21U03023,받아올림이 있는 (두 자리 수)+(한 자리 수),14201809,탭)AI 약점 보완 학습,덧셈
T1ME21U03024,받아올림이 있는 (두 자리 수)+(한 자리 수) 활용,14201809,탭)AI 약점 보완 학습,덧셈
T1ME21U03011,여러 가지 방법으로 덧셈을 해 볼까요(2),14201809,기)교과서 진도학습,덧셈
T1ME21U03025,일의 자리에서 받아올림이 있는 (두 자리 수)+(두 자리 수),14201809,탭)AI 약점 보완 학습,덧셈
T1ME21U03026,일의 자리에서 받아올림이 있는 (두 자리 수)+(두 자리 수) 활용,14201809,탭)AI 약점 보완 학습,덧셈
T1ME21U03012,덧셈을 해 볼까요,14201809,기)교과서 진도학습,덧셈
T1ME21U03027,십의 자리에서 받아올림이 있는 (두 자리 수)+(두 자리 수),14201809,탭)AI 약점 보완 학습,덧셈
T1ME21U03028,십의 자리에서 받아올림이 있는 (두 자리 수)+(두 자리 수) 활용,14201809,탭)AI 약점 보완 학습,덧셈
T1ME11U02001,여러 가지 모양 찾아보기,14201784,탭)겨울방학특강,여러 가지 모양 찾아보기
T1ME11U02008,모양 찾기 놀이를 해 볼까요,14201784,기)교과서 진도학습,여러 가지 모양 찾아보기
T1ME11U02019,여러 가지 모양의 물건 찾기,14201784,탭)AI 약점 보완 학습,여러 가지 모양 찾아보기
T1ME11U02005,여러 가지 모양을 찾아볼까요,14201784,기)교과서 진도학습,여러 가지 모양 찾아보기
T1ME11U02013,같은 모양의 물건 찾기,14201784,탭)AI 약점 보완 학습,여러 가지 모양 찾아보기
T1ME11U02014,주어진 모양과 같은 물건 찾기,14201784,탭)AI 약점 보완 학습,여러 가지 모양 찾아보기
T1ME11U02046,여러 가지 모양 찾아보기,14201784,탭)단원별 보충 학습,여러 가지 모양 찾아보기
